som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.016043,7612,learning,biological process,7611,learning or memory,,,,,,,"Any process in an organism in which a relatively long-lasting adaptive behavioral change occurs as the result of experience. [ISBN:0582227089, ISBN:0721662544]"
0.017138,70374,positive regulation of ERK1 and ERK2 cascade,biological process,43410,positive regulation of MAPK cascade,70372,regulation of ERK1 and ERK2 cascade,,,,,"Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade. [GOC:mah]"
0.019658,1709,cell fate determination,biological process,48869,cellular developmental process,,,,,,,"A process involved in cell fate commitment. Once determination has taken place, a cell becomes committed to differentiate down a particular pathway regardless of its environment. [ISBN:0878932437]"
0.019658,22407,regulation of cell-cell adhesion,biological process,30155,regulation of cell adhesion,,,,,,,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]"
0.019658,30098,lymphocyte differentiation,biological process,2521,leukocyte differentiation,46649,lymphocyte activation,,,,,"The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin. [CL:0000542, GOC:go_curators]"
0.019658,45773,positive regulation of axon extension,biological process,30307,positive regulation of cell growth,30516,regulation of axon extension,48639,positive regulation of developmental growth,50772,positive regulation of axonogenesis,"Any process that activates or increases the frequency, rate or extent of axon extension. [GOC:go_curators]"
0.019658,50768,negative regulation of neurogenesis,biological process,10721,negative regulation of cell development,50767,regulation of neurogenesis,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of neurogenesis, the origin and formation of neurons. [GOC:ai]"
0.019658,60157,urinary bladder development,biological process,48513,organ development,,,,,,,"The process whose specific outcome is the progression of the urinary bladder over time, from its formation to the mature structure. The urinary bladder is an elastic, muscular sac situated in the anterior part of the pelvic cavity in which urine collects before excretion. [GOC:dph, GOC:ln]"
0.020151,43406,positive regulation of MAP kinase activity,biological process,43405,regulation of MAP kinase activity,71902,positive regulation of protein serine/threonine kinase activity,,,,,"Any process that activates or increases the frequency, rate or extent of MAP kinase activity. [GOC:dph, GOC:go_curators]"
0.020151,48663,neuron fate commitment,biological process,45165,cell fate commitment,,,,,,,The process in which the developmental fate of a cell becomes restricted such that it will develop into a neuron. [GOC:dph]
0.020191,7050,cell cycle arrest,biological process,22402,cell cycle process,45786,negative regulation of cell cycle,,,,,"A regulatory process that halts progression through the cell cycle during one of the normal phases (G1, S, G2, M). [GOC:dph, GOC:mah, GOC:tb]"
0.020765,7411,axon guidance,biological process,6935,chemotaxis,,,,,,,The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues. [ISBN:0878932437]
0.028588,10744,positive regulation of macrophage derived foam cell differentiation,biological process,10743,regulation of macrophage derived foam cell differentiation,45597,positive regulation of cell differentiation,,,,,"Any process that increases the rate, frequency or extent of macrophage derived foam cell differentiation. Macrophage derived foam cell differentiation is the process in which a macrophage acquires the specialized features of a foam cell. A foam cell is a type of cell containing lipids in small vacuoles and typically seen in atherosclerotic lesions, as well as other conditions. [GOC:add, GOC:dph, GOC:tb]"
0.028588,21952,central nervous system projection neuron axonogenesis,biological process,21955,central nervous system neuron axonogenesis,,,,,,,"Generation of a long process of a CNS neuron, that carries efferent (outgoing) action potentials from the cell body towards target cells in a different central nervous system region. [GO_REF:0000021, GOC:cls, GOC:dgh, GOC:dph, GOC:jid, GOC:mtg_15jun06]"
0.028588,30574,collagen catabolic process,biological process,32963,collagen metabolic process,44243,multicellular organismal catabolic process,,,,,"The proteolytic chemical reactions and pathways resulting in the breakdown of collagen in the extracellular matrix, usually carried out by proteases secreted by nearby cells. [GOC:mah, ISBN:0815316194]"
0.028588,34613,cellular protein localization,biological process,8104,protein localization,70727,cellular macromolecule localization,,,,,"Any process in which a protein is transported to, and/or maintained in, a specific location at the level of a cell. Localization at the cellular level encompasses movement within the cell, from within the cell to the cell surface, or from one location to another at the surface of a cell. [GOC:mah]"
0.028588,43966,histone H3 acetylation,biological process,16573,histone acetylation,,,,,,,The modification of histone H3 by the addition of an acetyl group. [GOC:jl]
0.028588,48712,negative regulation of astrocyte differentiation,biological process,45686,negative regulation of glial cell differentiation,48710,regulation of astrocyte differentiation,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of astrocyte differentiation. [GOC:vp, PMID:15139015]"
0.028588,48844,artery morphogenesis,biological process,48514,blood vessel morphogenesis,,,,,,,"The process in which the anatomical structures of arterial blood vessels are generated and organized. Arteries are blood vessels that transport blood from the heart to the body and its organs. [GOC:dsf, PMID:16740480]"
0.028588,48873,homeostasis of number of cells within a tissue,biological process,1894,tissue homeostasis,48872,homeostasis of number of cells,,,,,Any biological process involved in the maintenance of the steady-state number of cells within a population of cells in a tissue. [GOC:isa_complete]
0.033202,30198,extracellular matrix organization,biological process,43062,extracellular structure organization,,,,,,,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an extracellular matrix. [GOC:mah]"
0.034626,9790,embryo development,biological process,48856,anatomical structure development,,,,,,,"The process whose specific outcome is the progression of an embryo from its formation until the end of its embryonic life stage. The end of the embryonic stage is organism-specific. For example, for mammals, the process would begin with zygote formation and end with birth. For insects, the process would begin at zygote formation and end with larval hatching. For plant zygotic embryos, this would be from zygote formation to the end of seed dormancy. For plant vegetative embryos, this would be from the initial determination of the cell or group of cells to form an embryo until the point when the embryo becomes independent of the parent plant. [GOC:go_curators, GOC:isa_complete, GOC:mtg_sensu]"
